name_he,name_lat,source,source_id
חספסת שרועה,Asperugo procumbens,wildflowers,1200
חלבלוב השמש,Euphorbia helioscopia,wildflowers,1201
כלך נגבי,Ferula negevensis,wildflowers,1202
פילגון מדברי,Filago desertorum,wildflowers,1203
לחך חום-לוע,Plantago phaeostoma,wildflowers,1204
נשרן שעיר,Piptatherum holciforme,wildflowers,1205
מנתור מחוספס,Matthiola aspera,wildflowers,1206
ציפורנית מעורקת,Silene coniflora,wildflowers,1207
כפיות שעירות,Carrichtera annua,wildflowers,1208
מסורן סרגלני,Koelpinia linearis,wildflowers,1209
קחוון מצוי,Anthemis pseudocotula,wildflowers,121
לענת המדבר,Artemisia sieberi,wildflowers,1210
פשתנית יפו,Linaria joppensis,wildflowers,1211
ברומית הגגות,Bromus tectorum,wildflowers,1212
אחיגומא משחיר,Schoenus nigricans,wildflowers,1213
אורתוטריכום שקוף,Orthotrichum diaphanum,wildflowers,1214
נר-הלילה הורוד,Oenothera rosea,wildflowers,1215
כוכב מצוי,Asteriscus hierochunticus,wildflowers,1216
טוריים זיפניים,Diplotaxis harra,wildflowers,1217
דרדר מצרי,Centaurea aegyptiaca,wildflowers,1218
חלבלוב מצוי,Euphorbia peplus,wildflowers,1219
קוטב מצוי,Tribulus terrestris,wildflowers,122
חבלבל סורי,Convolvulus coelesyriacus,wildflowers,1220
לועית ארוכת גביע,Misopates calycinum,wildflowers,1221
נוצנית כדורית,Lagoecia cuminoides,wildflowers,1222
פרעושית סיצילית,Pulicaria sicula,wildflowers,1223
ביקיית הכרשינה,Vicia ervilia,wildflowers,1224
לחך סגלגל,Plantago ovata,wildflowers,1225
גומא חלקלק,Cyperus laevigatus,wildflowers,1226
ברומית גדולה,Bromus catharticus,wildflowers,1227
חפורית קטנה,Phalaris minor,wildflowers,1228
אספסת עדשתית,Medicago orbicularis,wildflowers,1229
תורמוס צהוב,Lupinus luteus,wildflowers,123
לחך כרתי,Plantago cretica,wildflowers,1230
מרווה מלבינה,Salvia samuelssonii,wildflowers,1231
כמנון כרתי,Pimpinella cretica,wildflowers,1232
צלע-שור קטנה,Bupleurum nodiflorum,wildflowers,1233
פרע מחוספס,Hypericum scabrum,wildflowers,1234
זוזימה מדברית,Zosima absinthiifolia,wildflowers,1235
לפית שיכנית,Lappula spinocarpus,wildflowers,1236
ארבעוני שעיר,Tetrapogon villosus,wildflowers,1237
אבובית מקורקפת,Ziziphora capitata,wildflowers,1238
שום מזרחי,Allium israeliticum,wildflowers,1239
סגולית מחומשת,Legousia pentagonia,wildflowers,124
לשנן בובה,Glossonema boveanum,wildflowers,1240
זמזומית מפושקת,Bellevalia longipes,wildflowers,1241
ערבז דק-פרחים,Centaurium tenuifolium,wildflowers,1243
זון אשון,Lolium rigidum,wildflowers,1244
בצעוני מצוי,Eleocharis palustris,wildflowers,1245
חוגית תמימה,Knautia bidens,wildflowers,1246
שום שעיר,Allium trifoliatum,wildflowers,1247
עבדקן החוף,Polypogon maritimus,wildflowers,1248
רב-פרי בשרני,Polycarpon succulentum,wildflowers,1249
ארבע-כנפות צהובות,Tetragonolobus requienii,wildflowers,125
גלדן סמרני,Elytrigia juncea,wildflowers,1250
חסה מזרחית,Lactuca orientalis,wildflowers,1251
דבורנית נאה,Ophrys bornmuelleri,wildflowers,1252
קרצף מבורך,Cnicus benedictus,wildflowers,1253
בר-דורבן מזרחי,Consolida hispanica,wildflowers,1254
רב-פרי מצוי,Polycarpon tetraphyllum,wildflowers,1255
נוציץ מנוצה,Pterocephalus plumosus,wildflowers,1256
פרסה דלת-תרמילים,Hippocrepis unisiliquosa,wildflowers,1257
אשבל מופסק,Stachys distans,wildflowers,1258
דבקנית הפרקים,Cruciata articulata,wildflowers,1259
סייפן התבואה,Gladiolus italicus,wildflowers,126
שברק שעיר,Ononis hirta,wildflowers,1260
עפרון מרוחק,Eremopyrum distans,wildflowers,1261
פילגון מצוי,Filago pyramidata,wildflowers,1262
זיכריני מסועף,Myosotis uncata,wildflowers,1263
רפרף ארוך-עוקצים,Milium pedicellare,wildflowers,1264
עלקלוק צהוב פרחים,Parentucellia flaviflora,wildflowers,1265
אריסימון תמים,Erysimum crassipes,wildflowers,1266
בן-חיטה שרוני,Aegilops sharonensis,wildflowers,1267
לשישית בוצינית,Chrozophora obliqua,wildflowers,1268
סחלב סורי,Orchis syriaca,wildflowers,1269
נימפאה תכולה,Nymphaea caerulea,wildflowers,127
אשבל זוהרי,Stachys zoharyana,wildflowers,1270
בן-חיטה מדברי,Aegilops kotschyi,wildflowers,1271
סגולית חרמשית,Legousia falcata,wildflowers,1272
גלינסוגה קטנת-פרחים,Galinsoga parviflora,wildflowers,1275
פשתה תרבותית,Linum usitatissimum,wildflowers,1276
דבקת האפונים,Galium pisiferum,wildflowers,1277
געדה מפושקת,Teucrium divaricatum,wildflowers,1278
בוצין שונה-עלים,Verbascum agrimoniifolium,wildflowers,1279
מרווה כחולה,Salvia indica,wildflowers,128
צללית הדורה,Minuartia formosa,wildflowers,1280
ערברבה מרובעת,Epilobium tetragonum,wildflowers,1281
נורית קושטא,Ranunculus constantinopolitanus,wildflowers,1282
נורית יתדית,Ranunculus cuneilaminatus,wildflowers,1283
רכפה קטנת-פרחים,Reseda decursiva,wildflowers,1284
בן-חיטה אריכא,Aegilops longissima,wildflowers,1285
בן-חיטה ביצני,Aegilops geniculata,wildflowers,1286
שקד הרמון,Amygdalus ramonensis,wildflowers,1287
חלבלוב קעור,Euphorbia hirsuta,wildflowers,1288
ורבנה שרועה,Verbena supina,wildflowers,1289
אזוב מצוי,Majorana syriaca,wildflowers,129
יינית בינונית,Oenanthe silaifolia,wildflowers,1290
קיפודן דביק,Echinops viscosus,wildflowers,1291
ערבה לבנה,Salix alba,wildflowers,1292
אספסת בלנש,Medicago blncheana,wildflowers,1293
תלתן האלמוות,Trifolium argutum,wildflowers,1294
קחוון הגליל,Anthemis bornmuelleri,wildflowers,1295
חוחן בלאנש,Onopordum palaestinum,wildflowers,1296
כלך מרוקני,Ferula tingitana,wildflowers,1297
ריאלה דו-מינית,Riella affinis,wildflowers,1298
שלהבית הגלגל,Phlomis pungens,wildflowers,1299
פשתה שעירה,Linum pubescens,wildflowers,13
שלהבית קצרת-שיניים,Phlomis brachyodon,wildflowers,1300
ספלול מטפס,Aristolochia sempervirens,wildflowers,1301
זנב-כלב עדין,Cynosurus elegans,wildflowers,1302
סיסן אשון,Catapodium rigidum,wildflowers,1303
אשבל ארץ-ישראלי,Stachys palaestina,wildflowers,1304
אספרג ארץ-ישראלי,Asparagus palaestinus,wildflowers,1305
פעמונית כוכבנית,Campanula stellaris,wildflowers,1306
זנב-שועל ביצתי,Alopecurus arundinaceus,wildflowers,1307
סבונית השדה,Vaccaria hispanica,wildflowers,1308
דבקת יהודה,Galium judaicum,wildflowers,1309
חפורית מוזרה,Phalaris paradoxa,wildflowers,1310
חומעה יפה,Rumex pulcher,wildflowers,1311
אגורה מדברית,Malabaila secacul,wildflowers,1312
כוסנית ממולענת,Cornucopiae alopecuroides,wildflowers,1313
איריס ווסט,Iris westii,wildflowers,1314
תלתן צר-עלים,Trifolium angustifolium,wildflowers,1315
אפרורית מצויה,Glinus lotoides,wildflowers,1316
לוטוס דקיק,Lotus angustissimus,wildflowers,1317
שומרר בואסייה,Bilacunaria boissieri,wildflowers,1318
פרעושית ערבית,Pulicaria arabica,wildflowers,1319
חלבלוב סמור,Euphorbia valerianifolia,wildflowers,1320
מורית גדולה,Smyrnium olusatrum,wildflowers,1321
אזולה שרכית,Azolla filiculoides,wildflowers,1322
פגופירון תרבותי,Fagopyrum esculentum,wildflowers,1323
לשון-פר מזרחית,Anchusa ovata,wildflowers,1324
אגמון האגם,Schoenoplectus lacustris,wildflowers,1325
ביצן מכסיף,Alternanthera sessilis,wildflowers,1326
נהרונית לופתת,Potamogeton perfoliatus,wildflowers,1327
עופרית אירופית,Plumbago europaea,wildflowers,1328
נזרית חופית,Sixalix arenaria,wildflowers,1329
נעצוצית סבוכה,Cardopatium corymbosum,wildflowers,1330
ציפורנית אדמומית,Silene rubella,wildflowers,1331
געדת החורש,Teucrium stachyophyllum,wildflowers,1332
ערידת הביצות,Samolus valerandi,wildflowers,1333
ורבנה רפואית,Verbena officinalis,wildflowers,1334
ששן מאפיר,Caylusea hexagyna,wildflowers,1336
הרדופנין צר-עלים,Scorzonera multiscapa,wildflowers,1337
דרבה מחודדת,Draba oxycarpa,wildflowers,1338
דו-פרית תמימה,Aethionema heterocarpum,wildflowers,1339
קדד ים-המלח,Astragalus intercedens,wildflowers,1340
חלבלוב ארם-צובא,Euphorbia aleppica,wildflowers,1341
לכיד איטלקי,Xanthium italicum,wildflowers,1342
גבסנית ערבית,Gypsophila arabica,wildflowers,1343
תלתן הביצות,Trifolium fragiferum,wildflowers,1344
אסתר הביצות,Aster tripolium,wildflowers,1345
בטנונית שעירה,Gastrocotyle hispida,wildflowers,1346
ברזילון ענף,Sideritis pullulans,wildflowers,1347
שום סנין,Allium sannineum,wildflowers,1348
הרדופנין מנוצה,scorzonera subintegra,wildflowers,1349
צורית חופית,Sedum litoreum,wildflowers,1350
צורית יוונית,Sedum laconicum,wildflowers,1351
פרע מסולסל,Hypericum languinosum,wildflowers,1352
עוקץ-עקרב ארם-צובא,Heliotropium myosotoides,wildflowers,1353
זוטה צפופה,Micromeria myrtifolia,wildflowers,1354
צתרנית משובלת,Thymbra spicata,wildflowers,1355
חרחבינה חרמשית,Eryngium falcatum,wildflowers,1356
גזר זהוב,Daucus aureus,wildflowers,1357
גלונית הסלעים,Ballota saxatilis,wildflowers,1358
עבדקן הדורים,Polypogon viridis,wildflowers,1359
זקנונית הטבעות,Dichantium annulatum,wildflowers,1360
ירבוז עדין,Amaranthus palmeri,wildflowers,1361
מדחול דוקרני,Sporobolus pungens,wildflowers,1362
קיצנית צמרנית,Carlina lanata,wildflowers,1363
צורית אדומה,Sedum caespitosum,wildflowers,1364
חצצון מרצעני,Sagittaria subulata,wildflowers,1365
פלגית שיחנית,Pluchea dioscoridis,wildflowers,1366
עכנאי זיפני,Echium rauwolfii,wildflowers,1367
אשבל הביצה,Stachys viticina,wildflowers,1368
גומא צפוף,Cyperus alopecuroides,wildflowers,1369
בן-אפר מצוי,Schedonorus arundinacea,wildflowers,1370
אריסימון מיובל,Erysimum verrucosum,wildflowers,1371
ארביס אביבי,Arabis verna,wildflowers,1372
גלעינית עבת-עוקץ,Buglossoides incrassata,wildflowers,1373
זהבית אדמדמת,Gagea libanotica,wildflowers,1374
זון רב-שנתי,Lolium perenne,wildflowers,1375
עדשה שינית,Lens odemensis,wildflowers,1376
נימית ממולענת,Psilurus incurvus,wildflowers,1377
עדשה מזרחית,Lens orientalis,wildflowers,1378
כרכום חלמוני,Crocus vitellinus,wildflowers,1380
פרעושית משלשלת,Pulicaria dysenterica,wildflowers,1381
עטיינית מגובבת,Crypsis minuartioides,wildflowers,1382
לוניאה צרת עלים,Launaea angustifolia,wildflowers,1383
שרשר שיחני,Sarcocornia fruticosa,wildflowers,1384
אוכם חופי,Suaeda splendens,wildflowers,1385
עפעפית הקנוקנות,Kickxia cirrhosa,wildflowers,1386
דרדרת צהובה,Serratula cerinthifolia,wildflowers,1387
שום ההרים,Allium pseudocalyptratum,wildflowers,1388
אמברוסיה ימית,Ambrosia maritima,wildflowers,1389
הרנוג השיטים,Plicosepalus acaciae,wildflowers,139
קחוינה מקרינה,Anacyclus radiatus,wildflowers,1390
אולדנית הכף,Oldenlandia capensis,wildflowers,1391
אגמון שרוע,Schoenoplectiella supina,wildflowers,1392
שנית שוות-שיניים,Lythrum tribracteatum,wildflowers,1393
אלטין עקום-זרעים,Elatine macropoda,wildflowers,1394
מלחית אשלגנית,Salsola kali,wildflowers,1395
בוען מצולע,Physalis angulata,wildflowers,1396
ארכובית צרת-עלים,Polygonum aviculare,wildflowers,1397
קצח זעיר פרחים,Garidella nigellastrum,wildflowers,1398
עטיינית קצרה,Crypsis schoenoides,wildflowers,1399
נזמית לופתת,Lamium amplexicaule,wildflowers,14
חבצלת החוף,Pancratium maritimum,wildflowers,140
שקד קטן-עלים,Amygdalus korschinskii,wildflowers,1400
גרניון נאה,Geranium columbinum,wildflowers,1401
שלוחית קרחת,Andrachne telephioides,wildflowers,1402
שינן עב-שורש,Taraxacum cyprium,wildflowers,1403
קיפודית הקרקפת,Echinaria capitata,wildflowers,1404
קורידלית פיגמית,Corydalis erdelii,wildflowers,1405
פספלון מורחב,Paspalum dilatatum,wildflowers,1406
ניסנית סורית,Crepis syriaca,wildflowers,1407
שיכרון פעוט,Hyoscyamus pusillus,wildflowers,1408
חרטומית ערבית,Schimpera arabica,wildflowers,1409
בן-חצב יקינתוני,Scilla hyacinthoides,wildflowers,141
בת-רכפה מרצענית,Oligomeris linifolia,wildflowers,1410
פגוניה קטנת-פרחים,Fagonia bruguierei,wildflowers,1411
שום יריחו,Allium hierochuntinum,wildflowers,1412
זוגן אדום,Zygophyllum coccineum,wildflowers,1413
הילל קטן,Paracaryum intermedium,wildflowers,1414
בן-ציצית טחבני,Lasiopogon muscoides,wildflowers,1415
פרג סיני,Papaver decaisnei,wildflowers,1416
אשל מתנני,Tamarix passerinoides,wildflowers,1417
אכילאה ערבתית,Achillea santolina,wildflowers,1418
סחלב הגליל,Orchis galilaea,wildflowers,142
עלקת שולץ,Orobanche schultzii,wildflowers,1420
ערער גלעיני,Juniperus drupacea,wildflowers,1421
באשן תלתני,Cleome amblyocarpa,wildflowers,1422
ארנבית זיפנית,Arnebia hispidissima,wildflowers,1424
בת-קורנית הערבות,Thymus bovei,wildflowers,1425
מקור-חסידה מלבין,Erodium oxyrhynchum,wildflowers,1426
דורית רפה,Spergula falax,wildflowers,1427
חבלבל מצרי,Convolvulus fatmensis,wildflowers,1428
אזוביון מדברי,Lavandula coronopifolia,wildflowers,1429
ארנין ההרים,Ptilostemon chamaepecue,wildflowers,143
זרעזיף המדבר,Lasiospermum brachyglossum,wildflowers,1430
זצניה מזרחית,Seetzenia lanata,wildflowers,1432
בולנתוס דק-גבעול,Bolanthus filicaulis,wildflowers,1433
מלוח שנוי-פירות,Atriplex dimorphostegia,wildflowers,1434
מכנפיים מדבריים,Pterogaillonia calycopera,wildflowers,1435
לובד המדבר,Aerva javanica,wildflowers,1436
לוטונית מדוקרנת,Lotononis platycarpa,wildflowers,1437
מגלית מצרית,Hypecoum aegyptiacum,wildflowers,1438
כרבולת אדומית,Onobrychis ptolemaica,wildflowers,1439
עכנאי נאה,Echium plantagineum,wildflowers,144
כנפן קוצני,Pteranthus dichotomus,wildflowers,1440
