source_id,name_he,category,price,url
וינקה-ביוטי,וינקה ביוטי,צמחים-למרפסת-ולגינה,15.9,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/וינקה-ביוטי/
וינקה-מזור,וינקה מז'ור,צמחים-למרפסת-ולגינה,15.9,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/וינקה-מזור/
ורבנה,ורבנה,צמחים-למרפסת-ולגינה,15.9,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/ורבנה/
ורד-גינה-דלי-10-ליטר,ורד גינה - דלי 10 ליטר,צמחים-למרפסת-ולגינה,139.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/ורד-גינה-דלי-10-ליטר/
ורד-גינה-עציץ-18-סמ,"ורד גינה - עציץ 18 ס""מ",צמחים-למרפסת-ולגינה,59.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/ורד-גינה-עציץ-18-סמ/
ורד-גינה,ורד גינה,צמחים-למרפסת-ולגינה,42.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/ורד-גינה/
וריזאה-אדומה-בכלי-קרמיקה,וריזאה אדומה בכלי קרמיקה,צמחים-לבית-ולמשרד,199.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/וריזאה-אדומה-בכלי-קרמיקה/
וריזאה-אסטריד,וריזאה אסטריד,צמחים-לבית-ולמשרד,105.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/וריזאה-אסטריד/
וריזאה-סטרים,וריזאה סטרים,צמחים-לבית-ולמשרד,95.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/וריזאה-סטרים/
וריזאה,וריזאה,צמחים-לבית-ולמשרד,100.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/וריזאה/
זיגוקקטוס,זיגוקקטוס,צמחים-לבית-ולמשרד,,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/זיגוקקטוס/
זמיה-שחורה,זמיה שחורה Black Raven,צמחים-לבית-ולמשרד,229.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/זמיה-שחורה/
זמיה,זמיה (זמיוקולקס),צמחים-לבית-ולמשרד,69.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/זמיה/
זר-סחלבי-סוניה-בכלי-קרמיקה,זר סחלבי סוניה בקרמיקה,סחלבים,100.0,https://azurflowers.co.il/חנות/סחלבים/זר-סחלבי-סוניה-בכלי-קרמיקה/
זר-סחלבי-סוניה,זר סחלבי סוניה בזכוכית,סחלבים,59.0,https://azurflowers.co.il/חנות/סחלבים/זר-סחלבי-סוניה/
חלבלוב-הדור-בכלי-חרס-אפור,חלבלוב הדור בכלי חרס אפור,צמחים-לבית-ולמשרד,95.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/חלבלוב-הדור-בכלי-חרס-אפור/
